keywordId,cost,adGroupName,matchType,campaignId,sales1d,impressions,adGroupId,keywordBid,targeting,keywordType,clicks,purchases1d,keyword,campaignName
123773986157642,261.02,Ad Group - 10/2/2026 14:44:51.522,TARGETING_EXPRESSION,133543582508551,0,450,385267679235213,25,"asin=""B0DTYCGMDN""",TARGETING_EXPRESSION,6,0,"asin=""B0DTYCGMDN""",SP-PT-Face Serum-(Forest Essential)
237734564134244,493.57,Ad Group - 10/2/2026 14:20:37.032,TARGETING_EXPRESSION,216827813491463,0,1393,394429305551220,19,"asin=""B0DGPPCGGG""",TARGETING_EXPRESSION,15,0,"asin=""B0DGPPCGGG""",SP-PT-Day Cream-(Forest Essentials)
221777753888824,21.92,Ad Group - 10/2/2026 14:20:37.032,TARGETING_EXPRESSION,216827813491463,0,143,394429305551220,15,"asin=""B01M1IJUOA""",TARGETING_EXPRESSION,1,0,"asin=""B01M1IJUOA""",SP-PT-Day Cream-(Forest Essentials)
171987479325486,0,Ad Group - 10/2/2026 14:20:37.032,TARGETING_EXPRESSION,216827813491463,0,43,394429305551220,9,"asin=""B0743BBC8K""",TARGETING_EXPRESSION,0,0,"asin=""B0743BBC8K""",SP-PT-Day Cream-(Forest Essentials)
181595002758641,58.42,Ad Group - 10/2/2026 14:20:37.032,TARGETING_EXPRESSION,216827813491463,0,179,394429305551220,12.59,"asin=""B0FP5K52CQ""",TARGETING_EXPRESSION,2,0,"asin=""B0FP5K52CQ""",SP-PT-Day Cream-(Forest Essentials)
98874995069586,0,Ad Group - 10/2/2026 14:20:37.032,TARGETING_EXPRESSION,216827813491463,0,45,394429305551220,12.59,"asin=""B0CSXHV1QY""",TARGETING_EXPRESSION,0,0,"asin=""B0CSXHV1QY""",SP-PT-Day Cream-(Forest Essentials)
210635996175623,39.44,Ad Group - 10/2/2026 14:20:37.032,TARGETING_EXPRESSION,216827813491463,0,165,394429305551220,12.59,"asin=""B0B6SS6X8S""",TARGETING_EXPRESSION,2,0,"asin=""B0B6SS6X8S""",SP-PT-Day Cream-(Forest Essentials)
154722684069022,0,Ad Group - 10/2/2026 14:20:37.032,TARGETING_EXPRESSION,216827813491463,0,4,394429305551220,14.56,"asin=""B01LXOYQZC""",TARGETING_EXPRESSION,0,0,"asin=""B01LXOYQZC""",SP-PT-Day Cream-(Forest Essentials)
206314584184999,173.4,Ad Group - 10/2/2026 14:36:10.434,TARGETING_EXPRESSION,275310261322871,0,228,396668873295896,24.91,"asin=""B0CBCN8GGP""",TARGETING_EXPRESSION,8,0,"asin=""B0CBCN8GGP""",SP-PT-Face Wash-(Forest Essential)
257939898319630,45.51,Ad Group - 10/2/2026 14:36:10.434,TARGETING_EXPRESSION,275310261322871,419.49,85,396668873295896,16.73,"asin=""B0D9D754V4""",TARGETING_EXPRESSION,3,1,"asin=""B0D9D754V4""",SP-PT-Face Wash-(Forest Essential)
251728476924488,0,Ad Group - 10/2/2026 14:36:10.434,TARGETING_EXPRESSION,275310261322871,0,36,396668873295896,16.73,"asin=""B0FPD6J4RX""",TARGETING_EXPRESSION,0,0,"asin=""B0FPD6J4RX""",SP-PT-Face Wash-(Forest Essential)
41857159435212,0,Ad Group - 10/2/2026 14:36:10.434,TARGETING_EXPRESSION,275310261322871,0,17,396668873295896,20,"asin=""B00CH2NEX4""",TARGETING_EXPRESSION,0,0,"asin=""B00CH2NEX4""",SP-PT-Face Wash-(Forest Essential)
238853408100744,0,Ad Group - 10/2/2026 14:36:10.434,TARGETING_EXPRESSION,275310261322871,0,3,396668873295896,20,"asin=""B079X4XLHL""",TARGETING_EXPRESSION,0,0,"asin=""B079X4XLHL""",SP-PT-Face Wash-(Forest Essential)
56420653967814,35.25,Ad Group - 10/2/2026 14:36:10.434,TARGETING_EXPRESSION,275310261322871,0,55,396668873295896,22.97,"asin=""B00NXXFJMA""",TARGETING_EXPRESSION,1,0,"asin=""B00NXXFJMA""",SP-PT-Face Wash-(Forest Essential)
61829658054320,27.09,Ad Group - 10/2/2026 14:36:10.434,TARGETING_EXPRESSION,275310261322871,0,6,396668873295896,22.97,"asin=""B079X4SNHD""",TARGETING_EXPRESSION,1,0,"asin=""B079X4SNHD""",SP-PT-Face Wash-(Forest Essential)
245102705008545,66.98,Ad Group - 10/2/2026 14:36:10.434,TARGETING_EXPRESSION,275310261322871,0,6,396668873295896,22.97,"asin=""B09HP5SDXL""",TARGETING_EXPRESSION,2,0,"asin=""B09HP5SDXL""",SP-PT-Face Wash-(Forest Essential)
83911338564340,9.05,Ad Group - 10/2/2026 14:33:01.785,TARGETING_EXPRESSION,53792915779924,0,24,494171160497014,12,"asin=""B0DGPPCGGG""",TARGETING_EXPRESSION,1,0,"asin=""B0DGPPCGGG""",SP-PT-Night Cream-(Forest Essential)
