ASIN,SKU,Impressions,Clicks,Cost,Sales,Orders,Units,ACoS%,ROAS,CTR%,CVR%,CPC,Campaigns,Category,CategoryKey,total_units,total_revenue,shipped_units,cancelled_units,fba_available,fba_inbound,fba_total,cost_price,organic_sales,blended_roas,ad_contribution_pct
B0D9HD43H9,eHK_Black&Grey_EVA_PO16,5249,20,108.27,0.0,0,0,,0.0,0.38,0.0,5.41,1,LOSER - PAUSE,EVA_Gym,5.0,24964.43,5.0,0.0,,,,,24964.43,230.5756904036206,0.0
B0D9HDFSH3,EH_Black&Grey_EVA_PO12,2285,12,76.83,0.0,0,0,,0.0,0.53,0.0,6.4,7,MONITOR,EVA_Gym,8.0,21160.0,8.0,0.0,,,,1020.0,21160.0,275.4132500325394,0.0
B0CJJP2RLH,Antislipmat_Grey_Lines_45cmx1.5mtr,279,9,76.49,968.64,3,3,7.9,12.66,3.23,33.33,8.5,2,PUSH HARDER,ASM,6.0,1062.0,6.0,0.0,,,,44.0,93.36000000000001,13.884167865080403,91.2090395480226
B0CJR94LNG,Antislipmat_Clear_Lines_45cmx1.5mtr,463,8,71.92,156.78,1,1,45.87,2.18,1.73,12.5,8.99,2,MONITOR,ASM,14.0,2478.0,13.0,0.0,,,,44.0,2321.22,34.45494994438265,6.326876513317191
B0G1YW28HY,SB_Grey&Black_33Ltrs_PO4,856,5,70.65,0.0,0,0,,0.0,0.58,0.0,14.13,2,MONITOR,Storage,4.0,3780.0,4.0,0.0,,,,400.0,3780.0,53.503184713375795,0.0
B0D9HBH1XQ,eHK_Black&Grey_EVA_PO4,1875,9,52.48,0.0,0,0,,0.0,0.48,0.0,5.83,1,MONITOR,EVA_Gym,25.0,21002.0,25.0,0.0,,,,,21002.0,400.1905487804878,0.0
B0G1YSGT1J,SB_Navy Blue&White_33Ltrs_PO4,516,3,45.37,900.0,1,1,5.04,19.84,0.58,33.33,15.12,1,MONITOR,Storage,5.0,4725.0,5.0,0.0,,,,400.0,3825.0,104.14370729556977,19.047619047619047
B0BN5QG1KJ,AntiSkidMat_Diamond_Brown_45cmx5mtr,453,5,42.84,664.41,1,1,6.45,15.51,1.1,20.0,8.57,1,MONITOR,ASM,21.0,8279.0,21.0,0.0,,,,150.0,7614.59,193.25396825396822,8.02524459475782
B0GL8BF4Z6,EH_Black&Grey_Leaf_PO8,1785,6,38.35,0.0,0,0,,0.0,0.34,0.0,6.39,1,MONITOR,EVA_Gym,5.0,8500.0,5.0,0.0,,,,,8500.0,221.64276401564535,0.0
B0CRKRDHL3,eHK_EVA_MULTI_8,209,3,24.7,0.0,0,0,,0.0,1.44,0.0,8.23,1,MONITOR,EVA_Kids,,0.0,,,,,,,0.0,0.0,0.0
B0F2TLCK85,eva_mats_black_PO4,295,2,5.58,0.0,0,0,,0.0,0.68,0.0,2.79,1,MONITOR,EVA_Gym,5.0,4676.0,5.0,0.0,,,,,4676.0,837.9928315412186,0.0
B0CRKV362W,eHK_EVA_Black_16,5,0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,1,MONITOR,EVA_Gym,5.0,14681.0,5.0,0.0,,,,,14681.0,0.0,0.0
B0G1YY2HNF,SB_Black&White_33Ltrs_PO2,193,0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,1,MONITOR,Storage,7.0,3310.0,7.0,0.0,,,,200.0,3310.0,0.0,0.0
