SearchTerm,Impressions,Clicks,Cost,Sales,Orders,ACoS%,CVR%,Category
b0frxkkgx2,12,2,32.62,0.0,0,,0.0,ADD AS NEGATIVE
b0b79ytfzy,50,2,32.6,0.0,0,,0.0,ADD AS NEGATIVE
red sandalwood powder for face,28,2,32.55,0.0,0,,0.0,ADD AS NEGATIVE
facescrub for women,7,2,32.49,0.0,0,,0.0,ADD AS NEGATIVE
b0cjr2mhdk,31,2,32.4,0.0,0,,0.0,ADD AS NEGATIVE
b0gg3c59jp,10,2,32.35,0.0,0,,0.0,ADD AS NEGATIVE
face scrub for blackheads,15,1,32.32,0.0,0,,0.0,ADD AS NEGATIVE
charcoal scrub tan removal,8,2,32.28,0.0,0,,0.0,ADD AS NEGATIVE
pumice stone for foot scrub,14,2,32.15,0.0,0,,0.0,ADD AS NEGATIVE
pilgrim red wine face scrub,14,2,32.11,419.49,1,7.65,50.0,MONITOR
i luxe under eye gel,21,2,32.09,0.0,0,,0.0,ADD AS NEGATIVE
b0f21psrn9,56,2,32.06,0.0,0,,0.0,ADD AS NEGATIVE
b07k4bfqk1,466,2,32.0,0.0,0,,0.0,ADD AS NEGATIVE
b098rz3xvy,6,2,31.87,0.0,0,,0.0,ADD AS NEGATIVE
amway scrub for face,6,1,31.82,0.0,0,,0.0,ADD AS NEGATIVE
b0ccvzbglp,5,2,31.81,0.0,0,,0.0,ADD AS NEGATIVE
b07q3r6tbb,2,2,31.51,0.0,0,,0.0,ADD AS NEGATIVE
heavy tan removal,39,2,31.5,0.0,0,,0.0,ADD AS NEGATIVE
tan removal scrub,17,2,31.4,0.0,0,,0.0,ADD AS NEGATIVE
himalaya ka scrub,2,1,31.38,0.0,0,,0.0,ADD AS NEGATIVE
ubtan,5,2,31.35,0.0,0,,0.0,ADD AS NEGATIVE
raya saffron scrub,2,1,31.29,0.0,0,,0.0,ADD AS NEGATIVE
b016i7ur2e,8,2,31.26,0.0,0,,0.0,ADD AS NEGATIVE
b08p3c7sdj,2,1,31.22,0.0,0,,0.0,ADD AS NEGATIVE
lotus professional face pack,13,1,31.2,0.0,0,,0.0,ADD AS NEGATIVE
o3 dtan scrub,2,1,31.2,0.0,0,,0.0,ADD AS NEGATIVE
msm apricot - walnut - kashmir kesar - face scrub,3,2,31.02,0.0,0,,0.0,ADD AS NEGATIVE
face scrub for dry skin fruits,4,1,31.0,0.0,0,,0.0,ADD AS NEGATIVE
herbal face scrub for kids 12 to 15,1,1,31.0,419.49,1,7.39,100.0,MONITOR
face wash,2529,1,30.91,0.0,0,,0.0,ADD AS NEGATIVE
face and body cleansing scrub gel,11,1,30.89,0.0,0,,0.0,ADD AS NEGATIVE
lip scrub,26,2,30.87,0.0,0,,0.0,ADD AS NEGATIVE
dandruff hair oil,3,1,30.72,0.0,0,,0.0,ADD AS NEGATIVE
dr rashel scrub,87,1,30.69,0.0,0,,0.0,ADD AS NEGATIVE
de tan scrub for men,8,2,30.47,0.0,0,,0.0,ADD AS NEGATIVE
b07wgp5wyc,54,2,30.16,0.0,0,,0.0,ADD AS NEGATIVE
18 herbs hair oil,76,1,30.14,0.0,0,,0.0,ADD AS NEGATIVE
rust art face wash,1,1,30.02,0.0,0,,0.0,ADD AS NEGATIVE
b07fmgq18v,7,1,30.0,0.0,0,,0.0,MONITOR
enzyme exfoliator,7,1,29.99,0.0,0,,0.0,MONITOR
face scrub wali syrup to face wali syrup,1,1,29.77,0.0,0,,0.0,MONITOR
chemist scrub,7,1,29.66,0.0,0,,0.0,MONITOR
ayurvedic face wash,5,2,29.55,419.49,1,7.04,50.0,MONITOR
b0bmg32wfb,13,2,29.5,0.0,0,,0.0,MONITOR
raga d tan scrub for tan removal,6,2,29.47,0.0,0,,0.0,MONITOR
face scrub for sensitive skin for women,2,1,29.36,0.0,0,,0.0,MONITOR
detan scrub,35,2,29.19,0.0,0,,0.0,MONITOR
b0dk3tzgqd,16,1,29.08,0.0,0,,0.0,MONITOR
b08jy6w7pq,17,2,29.02,0.0,0,,0.0,MONITOR
junsui naturals face wash with whitening,1,1,28.83,0.0,0,,0.0,MONITOR
lotus jojoba face wash,2,1,28.74,0.0,0,,0.0,MONITOR
everyouth scrub for face,65,1,28.7,0.0,0,,0.0,MONITOR
